Sport,Year,Category,Title
VOLLEYBALL - GIRLS,0,STATE,3RD IN NYS (CLASS A)
VOLLEYBALL - GIRLS,0,OTHER,CLASS A SOUTHEAST REGIONAL CHAMPIONS
VOLLEYBALL - BOYS,2011,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2013,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2015,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2017,LEAGUE,LEAGUE CHAMPION
VOLLEYBALL - BOYS,2013,SUFFOLK COUNTY,SUFFOLK COUNTY CHAMPION
TENNIS - GIRLS,1979,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1985,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1986,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1988,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1991,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1994,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1995,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1996,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,1997,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2003,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2004,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2005,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2007,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2008,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2009,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2021,LEAGUE,LEAGUE CHAMPION
TENNIS - GIRLS,2022,LEAGUE,LEAGUE CHAMPION
